file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111128_www.pravda.ru_7ce5bfa2c3730b163a4c77382ede7c3303c2ea0228e0d74a8d7fa52f	83.10	91.98	75.79	66.67	63.64	70.00	241	21	77	7	4	3
20120106_www.newsru.com_a16c69df4c571a188b4af39ff04d6dbc337cec15c51046b5cbeb91e3	10.11	64.71	5.48	12.50	50.00	7.14	33	18	569	1	1	13
20120117_www.amic.ru_eb2e69ba48065b9615fb25041258937cf0f5c3b61af7242a722286e3	7.11	63.64	3.76	0.00	0.00	0.00	7	4	179	0	1	4
20120117_www.ukrinform.ua_a895bfeea3493522cbfcc0d265d9e92dbffc4488ec57be734a973a18	91.88	87.50	96.71	57.14	50.00	66.67	147	21	5	4	4	2
20120106_www.ria.ru_ae4b12e2d98ecf9ee39967c98157dab4bb0c79842d33006d588e12e1	8.21	8.36	8.06	0.00	0.00	0.00	27	296	308	0	20	9
20120117_news.bigmir.net_1f362ee6b4ce672737d86be6c69bb293fe8ee05513a7e572142402ce	40.94	26.92	85.53	42.86	50.00	37.50	130	353	22	3	3	5
20120106_obkom.net.ua_5fad92a456b3cb06c5cd98a71dca892d6cf4301c6a058cc69f6e55d6	15.32	45.00	9.23	76.92	83.33	71.43	18	22	177	5	1	2
20120106_eco.ria.ru_4b866e458a65a8794d13e57bb8bb0a8d579f431df28c2d5697c65b21	54.02	38.99	87.88	35.00	22.58	77.78	232	363	32	7	24	2
20120117_www.aif.ru_5d224cab8e1ac20fc930d6d91078bb50cfd5305de854f58319a4c578	5.88	7.80	4.72	0.00	0.00	0.00	11	130	222	0	18	8
20120106_rus.ruvr.ru_0cd8ed7b9610ff92162910a392661d11004b66181a96e8dd1dd8ccbe	70.80	60.91	84.51	26.67	18.18	50.00	120	77	22	2	9	2
20111128_www.interfax-russia.ru_d56227e509a79a573b9e30c4342652e1dff21dffef5ee6bc036d73fc	41.00	26.74	87.79	19.35	11.11	75.00	115	315	16	3	24	1
20111128_www.newsmsk.com_d87d5ce9dbefe4d4faec580153f2df6079fa69407804be77d78c7f1f	81.75	76.24	88.11	53.33	50.00	57.14	215	67	29	4	4	3
20120106_rus.ruvr.ru_b8c034fcc558534bd6db057a46ab31c5aaaa9f123e0c60e2368e4447	78.87	73.68	84.85	44.44	33.33	66.67	84	30	15	2	4	1
20111209_society.lb.ua_5f0b3d3553cb6625647110bb7636d9e3b099445dbd61a081a5398e66	78.72	76.29	81.32	25.00	33.33	20.00	148	46	34	1	2	4
20120117_glavnoe.ua_41ac28886c5ea26376f4973656130c09bed726a1699f756516c4d3d0	17.85	21.97	15.03	40.00	26.92	77.78	29	103	164	7	19	2
20111128_www.novopol.ru_8bd7bb61aff1884e017871c981eb9ea01120a132627812a305c8b4b3	8.16	66.67	4.35	0.00	0.00	0.00	8	4	176	0	1	8
20120106_news.samaratoday.ru_9474d4030e8ba3d2a943aa15a4628d64659de2b6780c74d911cbe458	12.14	65.38	6.69	0.00	0.00	0.00	17	9	237	0	2	6
20120117_www.ria.ru_1c44109cedff9b8a5e054dd489303bbc028febd6611050a4b315ae2d	67.79	53.66	92.02	50.00	34.78	88.89	242	209	21	8	15	1
20120117_nbnews.com.ua_bb83a1f2b55e7079b746f573cc6d8b3ff782d414c67d5c45791ff0da	74.24	62.03	92.45	54.55	50.00	60.00	98	60	8	3	3	2
20111128_www.54rus.org_d4ca4851d04858822d336639f9f929d2534bb775a234b77e87a46db1	88.58	94.81	83.12	76.92	83.33	71.43	128	7	26	5	1	2
20111128_www.ca-news.org_efd1aaa1a79fbba3879315af1ca0a8354a00af3df26ca2323da8e789	76.92	67.66	89.13	63.16	50.00	85.71	205	98	25	6	6	1
20120106_www.regnum.ru_30f1d0887d420e9e7632a8d76374ca3a37a01171affb1dc0c778783a	76.62	76.84	76.40	46.15	37.50	60.00	136	41	42	3	5	2
20120106_rus.ruvr.ru_728f3d8ec0e6248172f881c63434592641f72a6d72d155c8e7e723f0	90.36	91.62	89.13	70.59	66.67	75.00	492	45	60	12	6	4
20111209_www.health-ua.org_80162b2dcb8fd58a6f9ba5efdfb917ff0989788db273617db83808dd	3.97	56.25	2.06	0.00	0.00	0.00	9	7	428	0	2	10
20120117_www.argumenti.ru_e4dcced69d2c19877925b98606ff41d2c6b3a40ceba73b59c9190b51	56.83	45.73	75.05	55.56	45.45	71.43	412	489	137	10	12	4
20120106_primamedia.ru_77eca7ca6623ca1ac72b78ec2ed0961fb32970d01a0b014229e00ab0	70.07	56.41	92.48	17.14	10.34	50.00	295	228	24	3	26	3
20120106_vrn.kp.ru_4481fbbd10a3bec5ba28c38dd1d251d519ccfd1d175cca17e149b764	68.20	57.22	84.41	42.11	33.33	57.14	222	166	41	4	8	3
20120106_news.liga.net_a35ece8fbd5af8c7f07c5f1e63d0d5c422edeea53feefc664ab35582	61.39	49.01	82.12	50.00	37.50	75.00	124	129	27	3	5	1
20111128_www.eurolab.ua_265d038a62e38e494a1ff402790d8f5d92fbffdada6bbd7c83ee5354	80.34	87.73	74.09	57.14	57.14	57.14	143	20	50	4	3	3
20111128_russian-bazaar.com_6a49ccdcd2b1593e0d20b3a4f11ea91901744aef45355eaeb25c3c07	8.80	7.76	10.17	30.77	22.22	50.00	18	214	159	2	7	2
20120106_polit.ru_7a6bdb692f9769ce270ebf54258f7a3ebe7eb571647b99f40ebcf94a	55.41	38.80	96.90	54.55	40.00	85.71	407	642	13	6	9	1
20120106_www.newsland.ru_fb2e3d028833efa4361034bfb98483eee9663dbb967d54b7907a6e86	80.23	93.01	70.53	61.54	57.14	66.67	213	16	89	4	3	2
20120117_ivona.bigmir.net_fc26ebb4ff41057ed53e182316e70ff8422b166dd4e1f88488d94ece	50.22	35.37	86.57	28.57	40.00	22.22	174	318	27	2	3	7
20120106_rus.ruvr.ru_af4fbf485bcc6a1679a23de857b2c1fced9fd1707cd13dbf38fd50e6	85.79	86.49	85.11	50.00	42.86	60.00	160	25	28	3	4	2
20120106_www.newsru.com_455bfb523f2fdfe301c9a5b734ed388576980d3ca213b922e708115a	8.66	42.31	4.82	0.00	0.00	0.00	22	30	434	0	2	15
20111128_www.argumenti.ru_f74174bdeb5d196c3a233801519124ca13a961cc3d4cb6f7f30e4c54	28.84	17.15	90.60	11.11	6.67	33.33	106	512	11	1	14	2
20120106_www.ria.ru_aba670002d5a45afa30f60f4e8dc663cbf7a2d26da9a70cdbbde7fae	10.02	6.83	18.80	25.00	15.00	75.00	22	300	95	3	17	1
20120106_rus.ruvr.ru_f1e26404dc319826c41ffee88eb68506945a93e162364331ffdd61eb	66.93	79.72	57.68	11.11	10.00	12.50	169	43	124	1	9	7
20120106_tengrinews.kz_a17beb36e3cb8762cb9adf72dd4e3ca25691bd44e9b13451f94c8a9a	70.92	80.00	63.69	50.00	66.67	40.00	100	25	57	2	1	3
20120106_rus.ruvr.ru_d88e33bdaa62f7aaccef077a0fef801ebca3ce7b150fb2bfae74faaf	44.11	74.49	31.33	0.00	0.00	0.00	73	25	160	0	5	5
20120106_www.rbc.ru_50e41f72faa6539e1469cf3198778e7e711db329eaa811423e0d7dad	62.21	87.72	48.19	58.82	71.43	50.00	200	28	215	5	2	5
20111128_www.aif.ru_e13c5b66cd08c237b420a5a4012f76a6d8a830a19a279a35ee6571b6	17.82	11.92	35.23	19.05	11.11	66.67	31	229	57	2	16	1
20120117_www.1obl.ru_03ca2223d78152f5467d1027c818e8271becb68ab4e62f49445456fd	94.96	91.67	98.51	72.73	66.67	80.00	132	12	2	4	2	1
20120106_www.ria.ru_ac49a3dbffee82ee7e279128b85cbeabaa404a678b12eac5e2fdcd26	6.38	6.31	6.45	0.00	0.00	0.00	20	297	290	0	20	10
20120117_ul.kp.ru_6b3f9e1650f839620e1f3fdb7b9773429960182789a6a929b7526f95	6.29	64.71	3.30	16.67	33.33	11.11	11	6	322	1	2	8
20120117_www.vestipk.ru_e0ef3cfa9d6b29677e20a75acadebff2a7d04cec7ac0f07ebef001de	87.31	82.83	92.31	66.67	53.85	87.50	516	107	43	14	12	2
20120106_www.nr2.ru_aa88fcfd8b0404b65293ae484be79ab8b8124e91f4fd450784164b8d	17.43	76.00	9.84	66.67	66.67	66.67	19	6	174	2	1	1
20120117_top.rbc.ru_66d4dca562d4ca8eb538796c004900749feb4fe9bc56618a59920852	5.68	36.00	3.08	0.00	0.00	0.00	9	16	283	0	3	7
20111209_life.comments.ua_8daa4acb445758626aaaf6d146d4fb695d304f97e2610870f79ac1da	51.23	36.86	83.93	25.00	15.00	75.00	94	161	18	3	17	1
20120106_www.newsru.com_27fa8d3c7c979528c4b0eb4c04d88a4ef4e37642f27a347dc19e4130	4.79	69.09	2.48	4.65	50.00	2.44	38	17	1493	1	1	40
20120117_nversia.ru_125174415f4dd2156e09b2cce81d33116d051545290dd92cb9ad8940	2.17	1.18	13.07	22.22	20.00	25.00	20	1674	133	1	4	3
20120106_www.regnum.ru_38e9fe16ded493f7d74c9e8174c99dc3454ed5247c6997865ded658d	58.52	59.87	57.23	35.29	30.00	42.86	91	61	68	3	7	4
20111128_news.day.az_5fa888d244ce8a22ea48c2a0a008a6e255a0f2608b56526e19afe423	5.48	5.43	5.53	0.00	0.00	0.00	12	209	205	0	8	8
20120117_www.aif.ru_bb2d7753ead60383ec06cb6bcf3493dd7d85d65ffb79b6507fc9b2c8	10.26	8.06	14.10	26.09	16.67	60.00	22	251	134	3	15	2
20111128_news.argumenti.ru_f26d5091e52476e091e13cdddb38a1c010fdc3f8ecb1ba6395a30fc6	58.44	84.67	44.62	30.77	33.33	28.57	116	21	144	2	4	5
20111128_www.1tv.ru_ffa20a7466a435c581a121aa817318144e71e83a49aac0307d016bad	80.55	73.91	88.50	0.00	0.00	0.00	408	144	53	0	13	13
20111209_medportal.ru_18002c24dc3501baaa52622e2a0dbeefea06b2d30179f7937d7a5b6c	71.66	59.53	90.00	44.44	30.77	80.00	153	104	17	4	9	1
20111128_news.zn.ua_faa9be4c282731ea3549317a571cbf83e5b94a70bd94faecdc4cdb57	73.10	73.10	73.10	57.14	46.15	75.00	250	92	92	6	7	2
20111128_www.ukrinform.ua_60654a90458430dc5ecb5eb331c54e1b359f9f36c3aec5d5e322553c	8.93	39.39	5.04	0.00	0.00	0.00	13	20	245	0	3	5
20120117_www.interfax-russia.ru_670981487d96852f39d08106a592133b64334e66abd0d562343ff313	41.87	27.31	89.66	17.14	10.71	42.86	130	346	15	3	25	4
20120117_www.likar.info_a6a8acfd786f7f623fccc595395d1fddb203c450d15ae2b56e989c7d	15.94	78.57	8.87	0.00	0.00	0.00	11	3	113	0	1	4
20111128_cxid.info_8457bff189418435d7f0412b105092467e24d4bc22c56c5f787cd65d	64.77	73.98	57.59	42.86	33.33	60.00	91	32	67	3	6	2
20111128_www.regnum.ru_4193600271bbf74b999e2448e397b3193cb90e0ca5404121d305a0d0	37.07	24.33	77.86	66.67	50.00	100.00	109	339	31	3	3	0
20120117_www.newsland.ru_9d8872900e435c2a95ec7866931810a6119460049a3a04b93c652d75	94.17	95.06	93.30	85.00	85.00	85.00	404	21	29	17	3	3
20120117_www.bel.ru_ee4c7876ee4f411e379e682ce60a5b669f7495edb7490a6f0c544e01	82.17	81.47	82.89	57.14	57.14	57.14	189	43	39	4	3	3
20120106_www.ria.ru_4cab1c82f7b6a455f9da3f7ce098677d4359a3ef9f462ea46524fb7b	7.18	7.03	7.32	0.00	0.00	0.00	23	304	291	0	20	9
20120117_komi.kp.ru_421b4ef726437ef475bbd3ab6848f1ffedd2499ade10dd1a4a14573a	13.92	64.71	7.80	44.44	66.67	33.33	11	6	130	2	1	4
20120106_www.vz.ru_0ed565e7b29814b0a7aa0e0cbb19f161ac17d063f7543dcb96939db3	75.16	67.30	85.10	0.00	0.00	0.00	177	86	31	0	17	6
20111209_www.ameno.ru_094fe89eb4e510c238ac128f8bdd6efcf4727fa49453270a76370628	1.07	100.00	0.54	0.00	0.00	0.00	1	0	185	0	0	5
20120117_www.newsland.ru_bd7d1f16cb84b2d48e25b3267cb90003d126ac55d3edded12edc4a84	92.11	92.65	91.57	81.82	81.82	81.82	315	25	29	9	2	2
20120106_www.bbc.co.uk_0cff067af40961c028bfc292ccdcc29a984a6b692389e53b1dc96445	12.70	88.89	6.84	0.00	0.00	0.00	8	1	109	0	1	5
20120106_www.objectiv.tv_f1450364e8b6799a16d25d27e8d4d20c03c6582a542fbb5522222efc	79.39	76.16	82.91	61.54	57.14	66.67	131	41	27	4	3	2
20120106_www.nr2.ru_a8610aa505f2155383c46706587bda61b57e4f476c7094a8c4341940	13.68	72.73	7.55	0.00	0.00	0.00	16	6	196	0	2	5
20120106_www.kapital-rus.ru_9bb641315c0eb883e411d4d2607d462edf915890a8f0e1e17fb9c117	46.82	35.89	67.32	75.00	66.67	85.71	103	184	50	6	3	1
20120106_www.baikal-daily.ru_6910489e94427c1266f98aeca463a626f6f021962f27c14a9e01a3fc	4.64	25.71	2.55	0.00	0.00	0.00	9	26	344	0	2	11
20120106_rus.ruvr.ru_6995e691805cbfe865135607127fce8532f135e00c585a04e88d00ca	65.63	81.09	55.12	0.00	0.00	0.00	253	59	206	0	15	17
20120117_top.rbc.ru_59910528942418ed94703b750a97876172bb51c6ca1c932e49fd65d0	3.76	7.59	2.50	0.00	0.00	0.00	11	134	429	0	7	10
20111128_news.bcm.ru_51f1c8d6e09c4ed03027a7d14443c92eb9cb506bce82a6a9c45ccd04	4.03	6.67	2.89	0.00	0.00	0.00	10	140	336	0	3	8
20120106_www.regnum.ru_9626940719b75df8347ca84a3a33aaf73617eed5c65fe6820065566a	63.14	48.60	90.09	42.86	40.00	46.15	418	442	46	6	9	7
20120106_www.regnum.ru_023688a04c014bd6acf99b302eb738313df62a9496f5ee5f6bcabbbe	85.55	79.47	92.64	42.86	33.33	60.00	151	39	12	3	6	2
20111128_dozor.kharkov.ua_f3b980e81e058464fd3126929bfb11abd46f286d6747d07f2140f490	68.92	70.87	67.08	42.11	44.44	40.00	163	67	80	4	5	6
20120106_www.ria.ru_65d3cd8c47d4a2f9c4fdec98d51f7ad610295f9300072b909371a346	7.90	6.83	9.36	0.00	0.00	0.00	22	300	213	0	20	8
20120106_vesti.kz_30d73cd8a4eb70ae8086f88ceff9fb842ae001cfecb076334b347e13	85.32	80.65	90.58	75.00	75.00	75.00	125	30	13	3	1	1
20120117_www.ng.ru_9bf1d60cde49a368b4bc14dce2321eb37e63936df6079681d3dc661a	17.96	83.33	10.07	0.00	0.00	0.00	15	3	134	0	1	2
20120106_rus.ruvr.ru_d0936b32f4dfcfd8d4933b5807394621f9a2c55096176a4e6f7dd4c9	86.08	83.44	88.89	40.00	33.33	50.00	136	27	17	2	4	2
20120106_rus.ruvr.ru_ea8a312da029ade02837e74a53649ccfab6b23a4c931d63e7076b3ed	88.13	87.43	88.83	61.54	57.14	66.67	167	24	21	4	3	2
20111209_www.regnum.ru_39dbf385c056f5fac5095193a66768a641ffa44532cc29c5dca7ec0e	82.09	83.95	80.31	30.77	25.00	40.00	204	39	50	2	6	3
20120106_rus.ruvr.ru_cabf961cc2bc8a3b1ec2bb8b3b6a8bb358c674a4d0e74beb37bfe536	80.94	83.50	78.54	0.00	0.00	0.00	344	68	94	0	13	8
20120106_rus.ruvr.ru_d60b58d8921206220b592de79852b10eb5c8a3a01cd90e91c5760107	88.58	86.36	90.91	0.00	0.00	0.00	190	30	19	0	6	4
20120117_www.pr.ua_c7667f1e20086a484b35ddc27b70d4dbc0fd1ec238dddce3ad8104ea	4.29	6.46	3.21	0.00	0.00	0.00	27	391	815	0	13	12
20120106_www.baltic-course.com_23d594bb1390d2a5680eb3bdd8abff0afda52ac950deec2a30de081b	10.08	60.00	5.50	0.00	0.00	0.00	12	8	206	0	1	6
20111209_mignews.com.ua_8136e68b329da9d717135f04cebc055074902a64563fc7ba12b5973a	85.08	86.03	84.15	66.67	57.14	80.00	154	25	29	4	3	1
20120117_www.medikforum.ru_5641402348c024f1ee710c27302194e49a514ed542fc7d44fcb9459a	56.21	43.46	79.55	17.65	10.91	46.15	249	324	64	6	49	7
20120106_www.fergananews.com_3107dd7419e68cfa31a4242d97450f271ed51e4d56be9e971047fe29	14.22	15.09	13.45	42.86	27.27	100.00	16	90	103	3	8	0
20120117_www.isra.com_64bebeefa3bee1910ff84ab10ad7bbf33a6710618005775b7dff86ad	66.27	70.51	62.50	70.00	58.33	87.50	110	46	66	7	5	1
20120106_polit.ru_6425ba354b23dad3aca264e5f0ae4c571faecafe5741e37da0064987	30.57	18.37	91.14	50.00	35.71	83.33	144	640	14	5	9	1
20120117_www.regnum.ru_59ff197a55c3661cb75f16317be8420473852acaf7daae63508dd08c	42.01	28.09	83.23	36.36	33.33	40.00	134	343	27	2	4	3
20111209_www.health-ua.org_5d82207438f000749355eaa8c87b2fefc218564a361b005d725a679f	3.85	56.25	1.99	0.00	0.00	0.00	9	7	443	0	2	13
20120106_www.ntv.ru_9cd271d26e479370e5f13dc6a17e8e1e5ad76baef843f2d041f83cef	12.79	78.57	6.96	0.00	0.00	0.00	11	3	147	0	1	5
20120117_ura.dn.ua_4737640aa688991a3c0162213748af869eef11a9662ec38fb0b6e057	5.03	88.89	2.59	0.00	0.00	0.00	8	1	301	0	1	8
20111209_www.pravda.ru_708959c113d06281226c407dfdb5849683673dab9e9e7e0b4f6aab3b	75.57	85.86	67.48	50.00	41.67	62.50	249	41	120	5	7	3
20120106_www.ria.ru_029cdb94cdadb2cda796721f98aa1c854725855fe56297ef7a719622	40.82	27.97	75.53	17.65	11.11	42.86	179	461	58	3	24	4
20111128_www.newsland.ru_deca5850da6e13d3afaba5a733ba630dfc85e0446c1024e58f74bdc9	73.11	90.30	61.42	54.55	60.00	50.00	121	13	76	3	2	3
20120117_top.rbc.ru_8fc49681dc7b3805b395f0c5114a2bb597635b97fbc3a74744c60c8e	4.99	36.00	2.68	0.00	0.00	0.00	9	16	327	0	3	6
20120106_www.rzn.info_dfa9de2dad8922187b79eca288b190f143d3a1fed26e0db8afd3db94	69.82	60.19	83.12	46.15	37.50	60.00	192	127	39	3	5	2
20111128_top.rbc.ru_780223131eb3c6a04c95f782525de8c94814bfcd61e1a34d7d10cb31	6.45	36.00	3.54	0.00	0.00	0.00	9	16	245	0	3	5
20111128_www.medicusamicus.com_9e7f4aabccca4d02b620513399601bbb5572b04262ec078f810fd1df	81.71	70.57	97.03	13.79	8.33	40.00	458	191	14	2	22	3
20111128_www.radiomayak.ru_8ad67e417e7dda07308001996b87066591849749c42006aa649e710f	15.27	62.50	8.70	28.57	50.00	20.00	10	6	105	1	1	4
20120117_life.comments.ua_0c05c8ad98404601c2e4e4ec899c77060381efef6e2b18d9583d4bce	65.59	51.82	89.31	38.10	26.67	66.67	142	132	17	4	11	2
20120106_www.rbc.ru_9de3f8c98565dbf813e1dc0ee7fe858058b486556e7632b7ae132691	73.25	92.25	60.74	69.57	80.00	61.54	345	29	223	8	2	5
20120117_news.vdv-s.ru_2f8de7cf4d3452ac2db6f37d13200fec986021f3336a8a7b8931c191	91.55	90.32	92.82	71.43	71.43	71.43	168	18	13	5	2	2
