file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111104_www.express.gr_374193c3be99145c215b4474444c811d3f83b20ab84040d701ee7a21	5.58	2.87	95.61	0.00	0.00	0.00	523	17674	24	0	0	7
20120106_www.tovima.gr_778fc562195b4f5c513d5409326ea5f59cfda0cdfc2ac2803bb61467	3.76	1.92	89.16	0.00	0.00	0.00	255	13025	31	0	1	8
20120106_www.avgi.gr_32758bb0414ec845fa2c99f6114bd72bfe5267d725c46c88b341b882	32.55	19.63	95.30	47.06	36.36	66.67	284	1163	14	4	7	2
20120106_www2.rizospastis.gr_47c20c12563f82cfff24713ca108825f2bf598af601a270e78a7f104	35.44	21.90	92.89	0.00	0.00	0.00	431	1537	33	0	15	7
20120105_www.iatronet.gr_4d35ad34c0394e80a3c921b7ea922bf76f6df87e28711ffbcacd9d38	3.93	2.02	80.39	50.00	100.00	33.33	41	1992	10	1	0	2
20120104_www.ethnos.gr_e448555d474b216bc3089149adc72d7919a6b993918f342124259b5a	13.20	7.10	93.66	54.55	60.00	50.00	473	6191	32	6	4	6
20111208_www.express.gr_3d4cd6f7f007284da97d1c82f42585a03326efd5f255111354fe31c6	1.31	0.66	87.97	0.00	0.00	0.00	117	17674	16	0	0	5
20120104_www.express.gr_b5d0f82fd2a1eb5030314ed1f18c6d41ef99e214e05ac1ad56381234	7.38	3.86	82.44	0.00	0.00	0.00	521	12972	111	0	0	14
20120106_www.tovima.gr_8cb36110ec08965bf63853a9febef058a14d3410fadd3b74fae577a5	3.43	1.75	77.08	25.00	100.00	14.29	148	8295	44	1	0	6
20120105_www.tovima.gr_0b43a77264cbda661352d3107e0780bf022a85487de5046c114de7ce	12.24	6.59	86.24	0.00	0.00	0.00	326	4621	52	0	1	9
20120106_www.tovima.gr_755883832374b7f11e02561b77076936a5c5561df0d3115825ab1b2e	4.38	2.25	80.00	0.00	0.00	0.00	196	8516	49	0	1	9
20120106_www1.rizospastis.gr_145b3f95f91f38806a381c0a5d948524d0d31b82456e504ebe531526	21.56	12.35	85.06	0.00	0.00	0.00	262	1860	46	0	12	4
20111103_www.express.gr_b790b5da5f6a30c85f59855f847023204bb8b8f289a2c430be3f8e10	4.40	2.25	95.09	0.00	0.00	0.00	407	17671	21	0	0	6
20120106_www2.rizospastis.gr_3cb716eac237f1f7bcf5b28ff4d03f53d7ad825635a4075941062dcc	33.28	20.39	90.55	0.00	0.00	0.00	412	1609	43	0	16	8
20111208_www.express.gr_da882fcb03388a9eb9b305a1b9fe9172e88e3dd13a766f46dd793e21	5.65	2.91	93.66	0.00	0.00	0.00	532	17733	36	0	0	12
20120106_www2.rizospastis.gr_f473c75686edb8891959ceb43259ddc866c56205bad5d0da1709bf49	31.98	19.43	90.36	0.00	0.00	0.00	347	1439	37	0	14	7
20120106_www2.rizospastis.gr_c825bea11ea3f70fe71c70904da686001675cb60fa5853cf38bc549b	55.28	39.34	92.90	0.00	0.00	0.00	1021	1574	78	0	20	16
20120105_www.tovima.gr_07b79daa65528f984e29ec38a6e8e0118143b4371a485c802d651f7e	22.21	12.64	91.54	0.00	0.00	0.00	649	4486	60	0	1	16
20120106_www1.rizospastis.gr_6c8418e0c9de1caebf7d1014ac85cc2dfdb189305fec9b9eb2f46714	17.88	9.90	91.93	0.00	0.00	0.00	205	1865	18	0	10	2
20120105_health.in.gr_95529ecbcd447882db17066571410eaa5abb659669410269e309d7ff	16.16	8.88	89.54	0.00	0.00	0.00	522	5355	61	0	5	15
20120105_www.iatronet.gr_4aa56bb54d911f4028542d434ab247d8cb5911c5d1acbdd9406ac859	11.86	6.33	93.15	50.00	50.00	50.00	136	2012	10	2	2	2
20111121_www.express.gr_f9655722c07bbf29cfdfdc1beca6c36af03ae03d33da430619e3b424	4.84	2.48	95.95	0.00	0.00	0.00	450	17686	19	0	0	8
20120105_www.tovima.gr_281d8eb32b804880b2e3872d312977d42de48ad934565abff355c4a5	13.39	7.27	84.62	0.00	0.00	0.00	352	4488	64	0	1	19
20111108_www.express.gr_95662e961b75586f8d3cbf40783417e579e5f8568ff39355feb442a0	4.39	2.25	93.55	0.00	0.00	0.00	406	17676	28	0	0	8
20111107_www.express.gr_dfc1885e3264b533a48748b5e2154a32e563195109ed7424a5340ac1	4.61	2.36	94.27	0.00	0.00	0.00	428	17677	26	0	0	8
20120106_www1.rizospastis.gr_a0c46c9e11a7fe0ec70aca89596807dddb688b5ee5f21075f8563f54	27.40	16.15	90.28	0.00	0.00	0.00	353	1833	38	0	13	5
20111103_www.express.gr_c61012b55d72b56911132fdce606fca3b88af9af03cbfd839df60fcf	6.72	3.48	95.93	0.00	0.00	0.00	637	17669	27	0	0	10
20120106_www2.rizospastis.gr_b3ebfe01d7238d8801c3ceb926f44d3b8179ef45ce38c791b085097d	40.75	26.57	87.37	0.00	0.00	0.00	685	1893	99	0	20	14
20111115_www.express.gr_56539caf20c6ff25edba98bb2a51a03dde06ae052798c5f91cb88e4c	4.74	2.43	91.88	0.00	0.00	0.00	441	17704	39	0	0	11
20120106_www2.rizospastis.gr_c4a7903a237df85bb5d949b5e25e98697135c20e4a815f58682e75c4	34.75	21.59	89.09	0.00	0.00	0.00	531	1929	65	0	19	12
20120106_www2.rizospastis.gr_ed2b7239f505720e152a418a4cbe4685000be53adfcb01e45bfea1e0	33.83	20.81	90.29	0.00	0.00	0.00	409	1556	44	0	16	8
20111221_www.express.gr_069b684b39c02aaecedd887d39bbcabf1b78e4e33f2cb0fc602a7970	2.37	1.20	89.96	0.00	0.00	0.00	215	17713	24	0	0	7
20111129_www.express.gr_43bbae2ad58c174e903cf0f7a4aa96207a86cf2a5d488ae808d0f663	3.10	1.58	93.09	0.00	0.00	0.00	283	17672	21	0	0	7
20120104_www.ethnos.gr_5683f335ca018cb298ef4c230fe01cd48e2cf9274e8b2a8102fd2861	20.29	11.46	88.22	0.00	0.00	0.00	524	4047	70	0	3	18
20120106_www2.rizospastis.gr_794ce5494a6a61481505e8466e6c6302ba5deeafaaec66597e860e91	34.14	20.96	92.06	0.00	0.00	0.00	394	1486	34	0	13	5
20120105_www.tovima.gr_52df3a2ac78fa224f229919e635bde144016f650c22f7b006f05b83b	19.57	10.99	89.22	0.00	0.00	0.00	604	4892	73	0	1	22
20120105_www.iatronet.gr_4d796b56bc5459bdc651928263d79cb6923e3481e78bea4612d58bd7	4.10	2.10	79.63	40.00	50.00	33.33	43	2003	11	1	1	2
20120106_www.tovima.gr_526e56bd7f9e2305519228aca4dc084ed33a3ee06a1192f3a43644f6	10.97	5.86	85.86	0.00	0.00	0.00	522	8390	86	0	1	16
20120106_www2.rizospastis.gr_a7a091cc3d3f43051c1d9936b8c624431e06cc68b33122edaddc992c	34.22	20.88	94.83	0.00	0.00	0.00	495	1876	27	0	12	4
20111207_www.express.gr_5a2b984dd7cae62f5e2aa1e96ffeb4a2232535a31b16445374f66c5f	4.74	2.43	95.86	76.47	81.25	72.22	440	17676	19	13	3	5
